source_primary_key,source_primary_citation
ABRS_1981,"B. A. Barlow, H. T. Clifford, A. S. George, and A. K. A. McCusker. _Flora of Australia_. 1981.  url:  [http://www.environment.gov.au/biodiversity/abrs/online-resources/flora/main/](http://www.environment.gov.au/biodiversity/abrs/online-resources/flora/main/)."
ABRS_2022,"Australian Biological Resources Study. _Flora of Australia, Australian Biological Resources Study, Canberra._. accessed on 14 September, 2022.. 2022.  url:  [http://www.ausflora.org.au](http://www.ausflora.org.au)."
ABRS_2023,"Australian Biological Resources Study. _Flora of Australia, Australian Biological Resources Study, Canberra._. accessed on 14 September, 2022.. 2023.  url:  [http://www.ausflora.org.au](http://www.ausflora.org.au)."
ANBG_2019,Australian National Botanic Gardens. _The National Seed Bank_. 2018.  url:  [http://www.anbg.gov.au/gardens/living/seedbank/](http://www.anbg.gov.au/gardens/living/seedbank/).
ATRP_2020,"F. A. Zich, B. P. Hyland, T. Whiffin, and R. A. Kerrigan. _Australian Tropical Rainforest Plants, Edition 8_. 2020.  url:  [https://apps.lucidcentral.org/rainforest/text/intro/index.html](https://apps.lucidcentral.org/rainforest/text/intro/index.html)."
Ahrens_2019,"C. W. Ahrens, M. E. Andrew, R. A. Mazanec, K. X. Ruthrof, A. Challis, G. Hardy, M. Byrne, D. T. Tissue, and P. D. Rymer. “Plant functional traits differ in adaptability and are predicted to be differentially affected by climate change”.   _Ecology and Evolution_ 10.1 (2019), pp. 232-248.  doi:  [10.1002/ece3.5890](https://doi.org/10.1002%2Fece3.5890)."
Andrew_2022,"S. C. Andrew, P. A. Arnold, A. K. Simonsen, and V. F. Briceño. “Consistently high heat tolerance acclimation in response to a simulated heatwave across species from the broadly distributed”.   _Functional Plant Biology_ 50.1 (2022). Ed. by S. Allakhverdiev, pp. 71-83. ISSN: 1445-4416.  doi:  [10.1071/fp22173](https://doi.org/10.1071%2Ffp22173)."
Angevin_2011,"T. Angevin. “Species richness and functional trait diversity response to land use in a temperate eucalypt woodland community”. Honours. La Trobe University, 2011."
Apgaua_2015,"D. M. G. Apgaua, F. Y. Ishida, D. Y. P. Tng, M. J. Laidlaw, R. M. Santos, R. Rumman, D. Eamus, J. A. M. Holtum, and S. G. W. Laurance. “Functional traits and water transport strategies in lowland tropical rainforest trees”.   _PLoS One_ 10.6 (2015), p. e0130799.  doi:  [10.1371/journal.pone.0130799](https://doi.org/10.1371%2Fjournal.pone.0130799)."
Apgaua_2017,"D. M. G. Apgaua, D. Y. P. Tng, L. A. Cernusak, A. W. Cheesman, R. M. Santos, W. J. Edwards, and S. G. W. Laurance. “Plant functional groups within a tropical forest exhibit different wood functional anatomy”.   _Functional Ecology_ 31.3 (2017), pp. 582-591.  doi:  [10.1111/1365-2435.12787](https://doi.org/10.1111%2F1365-2435.12787)."
Arnold_2021,"P. A. Arnold, V. F. Briceño, K. M. Gowland, A. A. Catling, L. A. Bravo, and A. B. Nicotra. “A high-throughput method for measuring critical thermal limits of leaves by chlorophyll imaging fluorescence”.   _Functional Plant Biology_ 48.6 (2021), p. 634. ISSN: 1445-4408.  doi:  [10.1071/fp20344](https://doi.org/10.1071%2Ffp20344)."
Arnold_2022,"P. A. Arnold, S. Wang, A. A. Catling, L. E. B. Kruuk, and A. B. Nicotra. “Patterns of phenotypic plasticity along a thermal gradient differ by trait type in an alpine plant”.   _Functional Ecology_ 36.9 (2022), pp. 2412-2428. ISSN: 1365-2435.  doi:  [10.1111/1365-2435.14128](https://doi.org/10.1111%2F1365-2435.14128)."
Arnold_2024,"P. A. Arnold, S. Wang, R. F. Notarnicola, A. B. Nicotra, and L. E. B. Kruuk. “Testing the evolutionary potential of an alpine plant: phenotypic plasticity in response to growth temperature outweighs parental environmental effects and other genetic causes of variation”.   _Journal of Experimental Botany_ 75.18 (2024). Ed. by M. Jones, pp. 5971-5988. ISSN: 1460-2431.  doi:  [10.1093/jxb/erae290](https://doi.org/10.1093%2Fjxb%2Ferae290)."
Atkinson_2020,"J. Atkinson. “Unpublished data: Leaf morphology of the Pultenaea juniperina species complex in Tasmania, University of New South Wales”. 2020."
Atkinson_2020_2,"J. Atkinson. “Unpublished data: Investigation of how leaf traits may determine ecological restoration outcomes, University of New South Wales”. 2020."
Auld_2000,"T. D. Auld, D. A. Keith, and R. A. Bradstock. “Patterns in longevity of soil seedbanks in fire-prone communities of south-eastern Australia”.   _Australian Journal of Botany_ 48.4 (2000), pp. 539-548.  doi:  [10.1071/bt99046](https://doi.org/10.1071%2Fbt99046)."
BRAIN_2007,Brisbane Rainforest Action & Information Network. _Trait measurements for Australian rainforest species_. 2016.  url:  [http://www.brisrain.org.au/](http://www.brisrain.org.au/).
Baker_2019,"A. Baker. “Unpublished data: Post-fire fire-response surveys on the NSW north coast, Southern Cross University”. 2019."
Barrett_2009,"S. Barrett, S. Comer, N. McQuoid, M. Porter, C. Tiller, and D. Utber. _Identification and Conservation of Fire Sensitive Ecosystems and Species of the South Coast Natural Resource Management Region._. government. Department of Conservation and Land Management, South Coast Region, Western Australia, 2009."
Bean_1997,"A. Bean. “A revision of Baeckea (Myrtaceae) in eastern Australia, Malesia and south-east Asia”.   _Telopea_ 7 (1997), pp. 245-268.  doi:  [10.1.1.520.6315](https://doi.org/10.1.1.520.6315)."
Bebawi_2015,"F. F. Bebawi, S. D. Campbell, and R. J. Mayer. “Seed bank longevity and age to reproductive maturity of Calotropis procera (Aiton) W.T. Aiton in the dry tropics of northern Queensland”.   _The Rangeland Journal_ 37.3 (2015), p. 239. ISSN: 1036-9872.  doi:  [10.1071/rj14130](https://doi.org/10.1071%2Frj14130)."
Benwell_2024,"A. Benwell. “Fire responses of flora in a sclerophyll-rainforest vegetation complex in the Nightcap Range, North Coast, New South Wales”.   _Australian Journal of Botany_ 72.1 (2024). Ed. by D. Williams. ISSN: 1444-9862.  doi:  [10.1071/bt23049](https://doi.org/10.1071%2Fbt23049)."
Blackman_2010,"C. J. Blackman, T. J. Brodribb, and G. J. Jordan. “Leaf hydraulic vulnerability is related to conduit dimensions and drought resistance across a diverse range of woody angiosperms”.   _New Phytologist_ 188.4 (2010), pp. 1113-1123.  doi:  [10.1111/j.1469-8137.2010.03439.x](https://doi.org/10.1111%2Fj.1469-8137.2010.03439.x)."
Blackman_2019,"C. J. Blackman, X. Li, B. Choat, P. D. Rymer, M. G. D. Kauwe, R. A. Duursma, D. T. Tissue, and B. E. Medlyn. “Desiccation time during drought is highly predictable across species of Eucalyptus from contrasting climates”.   _New Phytologist_ 224.2 (2019), pp. 632-643.  doi:  [10.1111/nph.16042](https://doi.org/10.1111%2Fnph.16042)."
Blackman_2023,"C. J. Blackman, B. Halliwell, G. E. Hartill, and T. J. Brodribb. “Petiole XLA (xylem to leaf area ratio) integrates hydraulic safety and efficiency across a diverse group of eucalypt leaves”.   _Plant, Cell & Environment_ 47.1 (2023), pp. 49-58. ISSN: 1365-3040.  doi:  [10.1111/pce.14713](https://doi.org/10.1111%2Fpce.14713)."
Bloomfield_2018,"K. J. Bloomfield, L. A. Cernusak, D. Eamus, D. S. Ellsworth, I. C. Prentice, I. J. Wright, M. M. Boer, M. G. Bradford, P. Cale, J. Cleverly, J. J. G. Egerton, B. J. Evans, L. S. Hayes, M. F. Hutchinson, M. J. Liddell, C. Macfarlane, W. S. Meyer, S. M. Prober, H. F. Togashi, T. Wardlaw, L. Zhu, and O. K. Atkin. “A continental-scale assessment of variability in leaf traits: Within species, across sites and between seasons”.   _Functional Ecology_ 32.6 (2018), pp. 1492-1506.  doi:  [10.1111/1365-2435.13097](https://doi.org/10.1111%2F1365-2435.13097)."
Bourne_2017,"A. E. Bourne, D. Creek, J. M. R. Peters, D. S. Ellsworth, and B. Choat. “Species climate range influences hydraulic and stomatal traits in Eucalyptus species”.   _Annals of Botany_ 120.1 (2017), pp. 123-133.  doi:  [10.1093/aob/mcx020](https://doi.org/10.1093%2Faob%2Fmcx020)."
Bradshaw_2022,H. Bradshaw and G. Guerin. _Variance in plant functional traits in Eucalyptus baxteri and E. obliqua - a pilot study to assess utility for inferring climate vulnerability_. 2022.  doi:  [10.25909/624BF3FA77AD4](https://doi.org/10.25909%2F624BF3FA77AD4).
Bragg_2002,"J. G. Bragg and M. Westoby. “Leaf size and foraging for light in a sclerophyll woodland”.   _Functional Ecology_ 16 (2002), pp. 633-639.  doi:  [10.1046/j.1365-2435.2002.00661.x](https://doi.org/10.1046%2Fj.1365-2435.2002.00661.x)."
Briggs_2010,"A. L. Briggs and J. W. Morgan. “Seed characteristics and soil surface patch type interact to affect germination of semi-arid woodland species”.   _Plant Ecology_ 212 (2010), pp. 91-103.  doi:  [10.1007/s11258-010-9806-x](https://doi.org/10.1007%2Fs11258-010-9806-x)."
Britton_1994,"D. L. Britton and M. A. Brock. “Seasonal germination from wetland seed banks”.   _Marine and Freshwater Research_ 45.8 (1994), pp. 1445-1457.  doi:  [10.1071/mf9941445](https://doi.org/10.1071%2Fmf9941445)."
Brock_1993,"J. Brock and A. Dunlop. _Native plants of northern Australia_. Reed New Holland, 1993. ISBN: 9781877069246."
Brodribb_2000,"T. J. Brodribb and T. S. Feild. “Stem hydraulic supply is linked to leaf photosynthetic capacity: evidence from New Caledonian and Tasmanian rainforests”.   _Plant, Cell and Environment_ 23.12 (2000), pp. 1381-1388.  doi:  [10.1046/j.1365-3040.2000.00647.x](https://doi.org/10.1046%2Fj.1365-3040.2000.00647.x)."
Bryant_2021,"C. Bryant, T. I. Fuenzalida, A. Zavafer, H. T. Nguyen, N. Brothers, R. J. Harris, H. A. A. Beckett, H. I. Holmlund, O. Binks, and M. C. Ball. “Foliar water uptake via cork warts in mangroves of the Sonneratia genus”.   _Plant, Cell &amp; Environment_ 44.9 (2021), pp. 2925-2937. ISSN: 1365-3040.  doi:  [10.1111/pce.14129](https://doi.org/10.1111%2Fpce.14129)."
