Entity,trait,structure_measured,trait_groupings,trait_group_for_portal,core_trait,keywords
https://w3id.org/APD/traits/trait_0000012,leaf_Al_per_dry_mass,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,aluminium atom
https://w3id.org/APD/traits/trait_0000014,leaf_B_per_dry_mass,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,boron atom; micronutrient
https://w3id.org/APD/traits/trait_0000016,leaf_C_per_dry_mass,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,carbon atom
https://w3id.org/APD/traits/trait_0000018,leaf_Ca_per_dry_mass,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,calcium atom; micronutrient
https://w3id.org/APD/traits/trait_0000020,leaf_Cl_per_dry_mass,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,chlorine atom
https://w3id.org/APD/traits/trait_0000022,leaf_Cr_per_dry_mass,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,chromium atom
https://w3id.org/APD/traits/trait_0000024,leaf_Co_per_dry_mass,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,cobalt atom; micronutrient
https://w3id.org/APD/traits/trait_0000026,leaf_Cu_per_dry_mass,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,copper atom; micronutrient
https://w3id.org/APD/traits/trait_0000028,leaf_Fe_per_dry_mass,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,iron atom; micronutrient
https://w3id.org/APD/traits/trait_0000029,leaf_K_per_area,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,potassium atom; macronutrient
https://w3id.org/APD/traits/trait_0000030,leaf_K_per_dry_mass,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,potassium atom; macronutrient
https://w3id.org/APD/traits/trait_0000032,leaf_Mg_per_dry_mass,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,magnesium atom; micronutrient
https://w3id.org/APD/traits/trait_0000034,leaf_Mn_per_dry_mass,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,manganese atom; micronutrient
https://w3id.org/APD/traits/trait_0000036,leaf_Mo_per_dry_mass,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,molybdenum atom; micronutrient
https://w3id.org/APD/traits/trait_0000037,leaf_N_per_area,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,nitrogen atom; macronutrient
https://w3id.org/APD/traits/trait_0000038,leaf_N_per_dry_mass,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,core_trait,nitrogen atom; macronutrient
https://w3id.org/APD/traits/trait_0000040,leaf_Na_per_dry_mass,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,sodium atom; micronutrient
https://w3id.org/APD/traits/trait_0000042,leaf_Ni_per_dry_mass,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,nickel atom
https://w3id.org/APD/traits/trait_0000043,leaf_P_per_area,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,phosphorus atom; macronutrient
https://w3id.org/APD/traits/trait_0000044,leaf_P_per_dry_mass,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,core_trait,phosphorus atom; macronutrient
https://w3id.org/APD/traits/trait_0000046,leaf_S_per_dry_mass,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,sulfur atom; micronutrient
https://w3id.org/APD/traits/trait_0000048,leaf_Se_per_dry_mass,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,selenium atom
https://w3id.org/APD/traits/trait_0000050,leaf_Si_per_dry_mass,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,silicon atom
https://w3id.org/APD/traits/trait_0000052,leaf_Zn_per_dry_mass,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,zinc atom; micronutrient
https://w3id.org/APD/traits/trait_0000090,leaf_CN_ratio,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,carbon atom; macronutrient; nitrogen atom
https://w3id.org/APD/traits/trait_0000091,leaf_NP_ratio,leaf,live leaf mineral and ion content trait,nutrient and stable isotope,NA,nitrogen atom; macronutrient; phosphorus atom
https://w3id.org/APD/traits/trait_0000112,leaf_senesced_Al_per_dry_mass,leaf,senesced leaf mineral and ion content trait,nutrient and stable isotope,NA,aluminium atom; senescent; plant litter
https://w3id.org/APD/traits/trait_0000114,leaf_senesced_B_per_dry_mass,leaf,senesced leaf mineral and ion content trait,nutrient and stable isotope,NA,boron atom; senescent; micronutrient; plant litter
https://w3id.org/APD/traits/trait_0000116,leaf_senesced_C_per_dry_mass,leaf,senesced leaf mineral and ion content trait,nutrient and stable isotope,NA,carbon atom; senescent; plant litter
https://w3id.org/APD/traits/trait_0000118,leaf_senesced_Ca_per_dry_mass,leaf,senesced leaf mineral and ion content trait,nutrient and stable isotope,NA,calcium atom; senescent; micronutrient; plant litter
https://w3id.org/APD/traits/trait_0000126,leaf_senesced_Cu_per_dry_mass,leaf,senesced leaf mineral and ion content trait,nutrient and stable isotope,NA,copper atom; senescent; micronutrient; plant litter
https://w3id.org/APD/traits/trait_0000128,leaf_senesced_Fe_per_dry_mass,leaf,senesced leaf mineral and ion content trait,nutrient and stable isotope,NA,iron atom; senescent; micronutrient; plant litter
